Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,H/C,O/C,Heteroatom Class,Ion Type,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,13C
43,128.04353147065262,128.04353147065262,128.04342241946043,129.44929432788257,-0.07254826201589136,233827.38645070186,6.405034655042602,-1,-0.8516735193162943,0.017779486886160458,0.9950959708546105,0.4087060804735405,3.0,1.6,0.6,13C1 O3,de-protonated,1,40,C5 H8 O3 13C1,5,8,3,1
41,127.07651360983526,127.07651360983526,127.0764530937724,413.8357475163176,-0.23812578239885013,234715.3861514788,20.476220578102797,-1,-0.4762177522758662,0.283680269520469,0.0,0.1702081617122814,2.0,1.7142857142857142,0.2857142857142857,O2,de-protonated,0,,C7 H12 O2,7,12,2,
42,127.11292510038909,127.11292510038909,127.1128386031567,204.95093150788304,-0.11978022191390678,234681.76108794342,10.14078775560001,-1,-0.6804759718900252,0.07634548538724316,0.0,0.04580729123234589,1.0,2.0,0.125,O1,de-protonated,0,,C8 H16 O1,8,16,1,
45,129.0194133058346,129.0194133058346,129.0193321394818,2494.5943831395334,-1.4956128151929695,232941.38674604346,123.43028640861257,-1,-0.6291022550946624,0.05547252400982423,0.9483360171765969,0.41261792127653335,3.0,1.2,0.8,O4,de-protonated,0,,C5 H6 O4,5,6,4,
46,129.05578226598095,129.05578226598095,129.0557176488661,4283.611433974395,-2.588218031796822,232908.88680841605,211.94924101979478,-1,-0.500691608413915,0.271625528397319,0.99935017203816,0.5627153858536554,2.0,1.6666666666666667,0.5,O3,de-protonated,0,,C6 H10 O3,6,10,3,
48,130.05913346325846,130.05913346325846,130.05907248393842,283.19963995935007,-0.16741277535456703,232008.76218318718,14.01246347191961,-1,-0.4688586415008349,0.2948557481017466,0.99935017203816,0.576653517676312,2.0,2.0,0.6,13C1 O3,de-protonated,1,46,C5 H10 O3 13C1,5,10,3,1
47,129.09215505763694,129.09215505763694,129.0921031582504,429.1476752297273,-0.25252284817143694,232875.7617994035,21.233840989624593,-1,-0.40203378258186656,0.4074036150052805,0.0,0.24444216900316829,1.0,2.0,0.2857142857142857,O2,de-protonated,0,,C7 H14 O2,7,14,2,
51,131.03501612922489,131.03501612922489,131.0349822039598,3050.4484844838307,-1.8691063366237852,231142.88754960554,150.93344740105476,-1,-0.2589023519936741,0.721059900122754,0.9975251379397794,0.8316459952495642,2.0,1.6,0.8,O4,de-protonated,0,,C5 H8 O4,5,8,4,
53,132.03836687379163,132.03836687379163,132.03833703903211,157.81148718615967,-0.09674359473549424,230263.01291686285,7.808370448362087,-1,-0.2259552807561832,0.7530352257924289,0.9975251379397794,0.850831190651369,2.0,2.0,1.0,13C1 O4,de-protonated,1,51,C4 H8 O4 13C1,4,8,4,1
52,131.0713993787383,131.0713993787383,131.0713677133441,448.7222192538876,-0.26819153896786163,231111.1375617887,22.20237182235234,-1,-0.24158895078352377,0.7230685640857399,0.0,0.43384113845144395,1.0,2.0,0.5,O3,de-protonated,0,,C6 H12 O3,6,12,3,
55,133.0506393333138,133.0506393333138,133.05063226843782,288.62898731984507,-0.17641869609334077,229385.38824260025,14.281102696094539,-1,-0.05309915370319034,0.9844580417149099,0.0,0.590674825028946,1.0,2.0,0.8,O4,de-protonated,0,,C5 H10 O4,5,10,4,
57,135.0451866426168,135.0451866426168,135.0451529648164,188.3970768696089,-0.1181310603519152,227685.1389708731,9.321717916840404,-1,-0.24938177844581946,0.707861331843862,0.0,0.4247167991063172,5.0,1.0,0.25,O2,de-protonated,0,,C8 H8 O2,8,8,2,
58,137.02449633018148,137.02449633018148,137.02441751991012,914.2541442324778,-0.6024201348643119,226035.01464902438,45.23647276510513,-1,-0.5751549452849244,0.15916790667320685,0.0,0.09550074400392411,5.0,0.8571428571428571,0.42857142857142855,O3,de-protonated,0,,C7 H6 O3,7,6,3,
59,137.0608376253306,137.0608376253306,137.06080302929442,164.5107148452021,-0.10950218465061974,226005.01468904837,8.139842207563051,-1,-0.25241378586951563,0.7019033576139669,0.0,0.42114201456838013,4.0,1.25,0.25,O2,de-protonated,0,,C8 H10 O2,8,10,2,
61,139.00376520999768,139.00376520999768,139.0036820750038,603.7014928926587,-0.4079129857852388,179535.8622861401,29.87060689171764,-1,-0.598077638168447,0.13707805308066218,0.0,0.0822468318483973,5.0,0.6666666666666666,0.6666666666666666,O4,de-protonated,0,,C6 H4 O4,6,4,4,
63,139.04013648447977,139.04013648447977,139.0400675843881,3459.9715189558374,-2.3359677265263206,224390.6403599043,171.19627881663266,-1,-0.49554126993252456,0.3072294663377828,0.9996107351365293,0.5841819738572814,4.0,1.1428571428571428,0.42857142857142855,O3,de-protonated,0,,C7 H8 O3,7,8,3,
65,140.04348256603234,140.04348256603234,140.04342241946043,265.4527654267896,-0.1793498692055039,223585.3907142312,13.134364081807608,-1,-0.429485161618614,0.358881183164066,0.9996107351365293,0.6151730039530513,4.0,1.3333333333333333,0.5,13C1 O3,de-protonated,1,63,C6 H8 O3 13C1,6,8,3,1
64,139.0764698142851,139.0764698142851,139.07645309377241,310.14659693058013,-0.20412190176784664,224361.01541512096,15.345774666428719,-1,-0.12022533159296085,0.922838784695444,0.0,0.5537032708172663,3.0,1.5,0.25,O2,de-protonated,0,,C8 H12 O2,8,12,2,
66,141.01938233287237,141.01938233287237,141.0193321394818,2272.642061693695,-1.6273521223356917,222810.39102680414,112.44828517014352,-1,-0.3559326923647928,0.2473453216123052,0.9386372692256609,0.5238621006576475,4.0,1.0,0.6666666666666666,O4,de-protonated,0,,C6 H6 O4,6,6,4,
67,141.0557414173528,141.0557414173528,141.0557176488661,467.3779480393538,-0.32301148769099036,222781.64109345138,23.12544050346333,-1,-0.16850424140902268,0.8540695372284374,0.0,0.5124417223370624,3.0,1.4285714285714286,0.42857142857142855,O3,de-protonated,0,,C7 H10 O3,7,10,3,
