Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,H/C,O/C,Heteroatom Class,Ion Type,Is Isotopologue,Mono Isotopic Index,Molecular Formula
0,225.0042216459535,225.0042216459535,,0.15073042591970526,-5.4937403833149124e-05,615562.1159981239,34.17390401734845,-1,,,,,,,,unassigned,,,,
1,226.05449299792588,226.05449299792588,,0.2057303954004563,-7.808357045202418e-05,612702.116107222,46.6436072409931,-1,,,,,,,,unassigned,,,,
2,226.9786138695075,226.9786138695075,,0.5915671222118829,-0.0002269831375908948,610207.5160769824,134.12128262051857,-1,,,,,,,,unassigned,,,,
3,228.07014116805516,228.07014116805516,,0.2516025538460656,-9.709357313983125e-05,607287.1161324928,57.043834867391084,-1,,,,,,,,unassigned,,,,
4,228.90591348298278,228.90591348298278,,0.4239384618816441,-0.00016304872672984666,605069.9159059848,96.11617705720053,-1,,,,,,,,unassigned,,,,
5,235.92625280421674,235.92625280421674,,0.6847045207031044,-0.0002801373294348752,587065.1156660523,155.23758012345314,-1,,,,,,,,unassigned,,,,
6,243.12397746486621,243.12397746486621,,0.14771261258169857,-6.539087918083073e-05,569684.9157560284,33.48969933388094,-1,,,,,,,,unassigned,,,,
7,248.95918817112278,248.95918817112278,,0.161132900831817,-7.537545463135283e-05,556332.5161600307,36.53237396142434,-1,,,,,,,,unassigned,,,,
8,248.96057661987552,248.96057661987552,,6.173249086553634,-0.0028441673050457624,556329.3158062762,1399.611395455416,-1,,,,,,,,unassigned,,,,
9,249.9639325154106,249.9639325154106,,0.3132599120494267,-0.00014543218034145919,554096.3158778925,71.02291459431616,-1,,,,,,,,unassigned,,,,
10,252.90352705529673,252.90352705529673,,0.14608393984977971,-6.898734612628751e-05,547655.7159767816,33.120443390519405,-1,,,,,,,,unassigned,,,,
11,252.99914485467855,252.99914485467855,,0.1724118745387174,-8.36170932756583e-05,547448.7160386029,39.08956546753167,-1,,,,,,,,unassigned,,,,
12,255.16037886631955,255.16037886631955,,0.7251885838167791,-0.0003602291825366204,542811.916093749,164.4162079859923,-1,,,,,,,,unassigned,,,,
13,255.23313822537727,255.23313822537727,,0.7861740367555855,-0.00037854086942884193,542657.1160154499,178.24295200577967,-1,,,,,,,,unassigned,,,,
14,256.2364988670371,256.2364988670371,,0.1454398469849117,-7.258576706129149e-05,540532.1164221813,32.9744133663358,-1,,,,,,,,unassigned,,,,
15,256.84648344822153,256.84648344822153,,0.1904230405644118,-9.453550709730668e-05,539248.5160455602,43.173093098047985,-1,,,,,,,,unassigned,,,,
16,257.1760155179813,257.1760155179813,,0.15162630107639163,-7.485124308741175e-05,538557.515715909,34.37701862695246,-1,,,,,,,,unassigned,,,,
17,260.4552292728897,260.4552292728897,,0.2277482623791508,-0.00011482612286142954,531776.9160330127,51.6355421353951,-1,,,,,,,,unassigned,,,,
18,265.1480973361554,265.1480973361554,,0.2419521856450589,-0.00012571057472559238,522364.91574319627,54.85588406302624,-1,,,,,,,,unassigned,,,,
19,269.2124061432081,269.2124061432081,,0.16305475088921081,-9.233804819795726e-05,428732.4300281681,36.96809965513464,-1,,,,,,,,unassigned,,,,
20,277.1447265228287,277.1447265228287,,0.1482097058632978,-8.612037833886735e-05,416461.4299258723,33.6024013181644,-1,,,,,,,,unassigned,,,,
21,283.2644638017101,283.2644638017101,,0.8493549452304519,-0.00051122869121385,488956.7159674193,192.56745410132302,-1,,,,,,,,unassigned,,,,
22,284.26782499686897,284.26782499686897,,0.17378941847386378,-0.00010273101817671716,487230.91592454445,39.40188498717829,-1,,,,,,,,unassigned,,,,
23,293.1760493527942,293.1760493527942,,0.16330072627086642,-0.0001044946223705779,472426.3160077576,37.02386768625403,-1,,,,,,,,unassigned,,,,
24,293.17942443654647,293.17942443654647,,0.15596960116084638,-0.00010102325013362906,472420.9159597128,35.36174031999515,-1,,,,,,,,unassigned,,,,
25,297.1532078917101,297.1532078917101,,1.040013821074104,-0.0006831048988190362,466103.31592253665,235.7940162461642,-1,,,,,,,,unassigned,,,,
26,297.24373761759983,297.24373761759983,,0.19152996070186365,-0.0001288282738412284,465961.3160546038,43.42405624832993,-1,,,,,,,,unassigned,,,,
27,298.1565700654549,298.1565700654549,,0.1688396388583252,-0.00011417020586589356,464534.7158947178,38.279661040312035,-1,,,,,,,,unassigned,,,,
28,307.85616334224716,307.85616334224716,,0.27387585757904825,-0.00019416677601360115,449898.7159027322,62.09368289426307,-1,,,,,,,,unassigned,,,,
29,311.1688723411656,311.1688723411656,,2.664460650863679,-0.001930642531165521,445109.115985635,604.091854614161,-1,,,,,,,,unassigned,,,,
30,312.1722302708973,312.1722302708973,,0.4629192823597342,-0.00033957408877286204,443678.3160832489,104.9539867390054,-1,,,,,,,,unassigned,,,,
31,312.8363309867682,312.8363309867682,,0.18242059210655845,-0.00013848121347439336,442736.5159479569,41.35876195797584,-1,,,,,,,,unassigned,,,,
32,316.77928354276554,316.77928354276554,,0.5688226040294457,-0.00042792764268179335,437225.7158197941,128.96459991001194,-1,,,,,,,,unassigned,,,,
33,316.9481166996647,316.9481166996647,,0.4423809640302804,-0.00033025509078419977,436992.91592893243,100.29749807730418,-1,,,,,,,,unassigned,,,,
34,317.77942261087316,317.77942261087316,,0.20415778416492616,-0.00015113992886385248,435849.7160459499,46.287061672361595,-1,,,,,,,,unassigned,,,,
